easting,northing,strike,dip,rake,featureType
119.961519,-21.359083,107,85,114,foliation
119.967793,-21.368229,119,52,120,foliation
119.956343,-21.354472,125,75,89,foliation
119.960471,-21.358954,125,77,110,foliation
119.966915,-21.371181,125,74,118,foliation
119.967457,-21.370094,126,76,82,foliation
119.960252,-21.359454,126,88,100,bedding
119.956548,-21.35441,127,81,115,foliation
119.967173,-21.370697,128,74,105,foliation
119.967945,-21.368114,128,82,111,foliation
119.962613,-21.361058,128,86,115,foliation
119.961493,-21.362512,129,70,97,foliation
119.960238,-21.359392,129,88,110,bedding
119.967945,-21.368114,129,86,112,foliation
119.960485,-21.358835,130,86,94,foliation
119.962437,-21.362062,131,70,92,bedding
119.966002,-21.371682,132,80,150,foliation
119.956071,-21.354721,133,86,101,bedding
119.960194,-21.359409,134,84,105,foliation
119.9563,-21.354528,135,74,94,foliation
119.962748,-21.362602,135,88,102,bedding
119.967945,-21.368114,135,84,105,foliation
119.959834,-21.357624,135,81,105,bedding
119.962024,-21.362272,136,89,115,foliation
119.956794,-21.355007,137,83,92,foliation
119.961797,-21.362365,138,88,93,foliation
119.9561,-21.354709,139,76,102,bedding
119.96019,-21.359228,140,80,100,foliation
119.960483,-21.358252,140,77,104,foliation
119.96157,-21.362106,141,74,85,foliation
119.962433,-21.362832,142,70,101,bedding
119.961716,-21.363037,143,80,98,bedding
119.96311,-21.362437,143,77,104,bedding
119.962751,-21.362531,144,78,100,bedding
119.967793,-21.368229,144,72,102,foliation
119.961553,-21.361915,145,75,82,foliation
119.965867,-21.371895,146,51,105,foliation
119.960174,-21.357894,146,57,111,foliation
119.963421,-21.361944,146,76,120,foliation
119.961657,-21.360434,147,77,92,foliation
119.960159,-21.357887,147,57,111,foliation
119.961243,-21.362215,149,85,84,foliation
119.961969,-21.362613,149,89,84,foliation
119.961664,-21.360414,149,71,95,foliation
119.961657,-21.360434,150,72,87,foliation
119.962141,-21.362214,150,69,91,foliation
119.956218,-21.354596,150,76,100,foliation
119.961758,-21.361675,150,69,101,foliation
119.962804,-21.361242,150,73,108,foliation
119.96295,-21.362075,151,72,96,foliation
119.961597,-21.362819,151,83,112,foliation
119.961744,-21.361696,154,83,101,foliation
119.96279,-21.361219,154,68,108,foliation
119.96279,-21.361219,156,75,107,foliation
119.96279,-21.361219,162,70,96,foliation
119.967394,-21.370296,298,88,73,vein
119.95739,-21.356785,299,79,93,bedding
119.959958,-21.359438,304,86,84,foliation
119.956189,-21.355729,305,87,74,foliation
119.959157,-21.356923,305,89,80,foliation
119.960323,-21.359184,308,86,74,foliation
119.955964,-21.354712,308,75,91,foliation
119.962592,-21.361907,317,86,79,foliation
119.960211,-21.359433,317,87,80,bedding
119.955589,-21.355097,318,86,80,foliation
119.962002,-21.362606,325,87,79,foliation